stationName,day,time,season,result
Tora El-Balad,Saturday ,4:00 AM,Autumn,normal
Tora El-Balad,Saturday ,4:00 AM,Spring,normal
Tora El-Balad,Saturday ,4:00 AM,Winter,normal
Tora El-Balad,Saturday ,4:00 AM,Summer,normal
Tora El-Balad,Saturday ,5:00 AM,Autumn,normal
Tora El-Balad,Saturday ,5:00 AM,Spring,normal
Tora El-Balad,Saturday ,5:00 AM,Winter,normal
Tora El-Balad,Saturday ,5:00 AM,Summer,normal
Tora El-Balad,Saturday ,6:00 AM,Autumn,normal
Tora El-Balad,Saturday ,6:00 AM,Spring,normal
Tora El-Balad,Saturday ,6:00 AM,Winter,busy
Tora El-Balad,Saturday ,6:00 AM,Summer,busy
Tora El-Balad,Saturday ,7:00 AM,Autumn,busy
Tora El-Balad,Saturday ,7:00 AM,Spring,busy
Tora El-Balad,Saturday ,7:00 AM,Winter,very busy
Tora El-Balad,Saturday ,7:00 AM,Summer,very busy
Tora El-Balad,Saturday ,8:00 AM,Autumn,very busy
Tora El-Balad,Saturday ,8:00 AM,Spring,very busy
Tora El-Balad,Saturday ,8:00 AM,Winter,very busy
Tora El-Balad,Saturday ,8:00 AM,Summer,very busy
Tora El-Balad,Saturday ,9:00 AM,Autumn,very busy
Tora El-Balad,Saturday ,9:00 AM,Spring,very busy
Tora El-Balad,Saturday ,9:00 AM,Winter,very busy
Tora El-Balad,Saturday ,9:00 AM,Summer,very busy
Tora El-Balad,Saturday ,10:00 AM,Autumn,very busy
Tora El-Balad,Saturday ,10:00 AM,Spring,very busy
Tora El-Balad,Saturday ,10:00 AM,Winter,very busy
Tora El-Balad,Saturday ,10:00 AM,Summer,very busy
Tora El-Balad,Saturday ,11:00 AM,Autumn,very busy
Tora El-Balad,Saturday ,11:00 AM,Spring,very busy
Tora El-Balad,Saturday ,11:00 AM,Winter,very busy
Tora El-Balad,Saturday ,11:00 AM,Summer,very busy
Tora El-Balad,Saturday ,12:00 PM,Autumn,very busy
Tora El-Balad,Saturday ,12:00 PM,Spring,very busy
Tora El-Balad,Saturday ,12:00 PM,Winter,very busy
Tora El-Balad,Saturday ,12:00 PM,Summer,very busy
Tora El-Balad,Saturday ,1:00 PM,Autumn,very busy
Tora El-Balad,Saturday ,1:00 PM,Spring,very busy
Tora El-Balad,Saturday ,1:00 PM,Winter,very busy
Tora El-Balad,Saturday ,1:00 PM,Summer,very busy
Tora El-Balad,Saturday ,2:00 PM,Autumn,busy
Tora El-Balad,Saturday ,2:00 PM,Spring,very busy
Tora El-Balad,Saturday ,2:00 PM,Winter,very busy
Tora El-Balad,Saturday ,2:00 PM,Summer,very busy
Tora El-Balad,Saturday ,3:00 PM,Autumn,busy
Tora El-Balad,Saturday ,3:00 PM,Spring,busy
Tora El-Balad,Saturday ,3:00 PM,Winter,very busy
Tora El-Balad,Saturday ,3:00 PM,Summer,very busy
Tora El-Balad,Saturday ,4:00 PM,Autumn,busy
Tora El-Balad,Saturday ,4:00 PM,Spring,busy
Tora El-Balad,Saturday ,4:00 PM,Winter,very busy
Tora El-Balad,Saturday ,4:00 PM,Summer,very busy
Tora El-Balad,Saturday ,5:00 PM,Autumn,busy
Tora El-Balad,Saturday ,5:00 PM,Spring,busy
Tora El-Balad,Saturday ,5:00 PM,Winter,very busy
Tora El-Balad,Saturday ,5:00 PM,Summer,busy
Tora El-Balad,Saturday ,6:00 PM,Autumn,busy
Tora El-Balad,Saturday ,6:00 PM,Spring,busy
Tora El-Balad,Saturday ,6:00 PM,Winter,busy
Tora El-Balad,Saturday ,6:00 PM,Summer,busy
