,stationName,day,season,result,hour
0,66,2,0,0,4
1,66,2,1,0,4
2,66,2,2,0,4
3,66,2,3,0,4
4,66,2,0,0,5
5,66,2,1,0,5
6,66,2,2,0,5
7,66,2,3,0,5
8,66,2,0,0,6
9,66,2,1,0,6
10,66,2,2,1,6
11,66,2,3,1,6
12,66,2,0,1,7
13,66,2,1,1,7
14,66,2,2,2,7
15,66,2,3,2,7
16,66,2,0,2,8
17,66,2,1,2,8
18,66,2,2,2,8
19,66,2,3,2,8
20,66,2,0,2,9
21,66,2,1,2,9
22,66,2,2,2,9
23,66,2,3,2,9
24,66,2,0,2,10
25,66,2,1,2,10
26,66,2,2,2,10
27,66,2,3,2,10
28,66,2,0,2,11
29,66,2,1,2,11
30,66,2,2,2,11
31,66,2,3,2,11
32,66,2,0,2,12
33,66,2,1,2,12
34,66,2,2,2,12
35,66,2,3,2,12
36,66,2,0,2,13
37,66,2,1,2,13
38,66,2,2,2,13
39,66,2,3,2,13
40,66,2,0,1,14
41,66,2,1,2,14
42,66,2,2,2,14
43,66,2,3,2,14
44,66,2,0,1,15
45,66,2,1,1,15
46,66,2,2,2,15
47,66,2,3,2,15
48,66,2,0,1,16
49,66,2,1,1,16
50,66,2,2,2,16
51,66,2,3,2,16
52,66,2,0,1,17
53,66,2,1,1,17
54,66,2,2,2,17
55,66,2,3,1,17
56,66,2,0,1,18
57,66,2,1,1,18
58,66,2,2,1,18
59,66,2,3,1,18
60,66,2,0,1,19
61,66,2,1,1,19
62,66,2,2,1,19
63,66,2,3,1,19
64,66,2,0,1,20
65,66,2,1,1,20
66,66,2,2,1,20
67,66,2,3,1,20
68,66,2,0,0,21
69,66,2,1,0,21
70,66,2,2,1,21
71,66,2,3,1,21
72,66,2,0,0,22
73,66,2,1,0,22
74,66,2,2,0,22
75,66,2,3,0,22
76,66,2,0,0,23
77,66,2,1,0,23
78,66,2,2,0,23
79,66,2,3,0,23
80,66,2,0,0,0
81,66,2,1,0,0
82,66,2,2,0,0
83,66,2,3,0,0
84,66,2,0,0,1
