StationName,StationID
Tora El-Balad,66
sakanat-el-maadi,73
Maadi Metro Station,47
Hadayeq El-Maadi Metro Station,34
Dar-Elsalam,12
EL-zahraa,15
Mari Gerges,50
El-Malek El-Saleh,24
El-Sayeda Zeinab,25
Saad Zaghloul,59
Sadat,60
AbdEl-Nasser,0
Tura El-Asmant,67
Kozzika,46
Al-Shohadaa,7
Ghamra,31
El-Demerdash Station,21
Mansheyat El-Sadr,48
Kobri El-Qobba,43
Hammamat El Kobba,35
Saray El-Kobba,63
Hadayeq El Zeitoun,33
Helmeyat Alzaitoon subway station,38
El Matarya,17
Ain Shams,4
Ezbet El Nakhl,29
Marg Metro Station,49
New Marg Metro Station,54
Ahmed Orabi,3
Ain helwan,5
Helwan University,40
Wadi Hoff Metro Station,68
Hadayek Helwan,32
El-Maasara,23
Helwan Station,39
Ataba,9
El Monib,19
Sakiat Mekki,62
Omm El-Misryeen,55
Faisal Metro (Subtrain) Station ,30
Cairo University Metro,11
El  Behoos,16
Dokki Metro Station,13
Opera,56
Muhammad Najeeb station,52
Rod El-Farag,58
St. Teresa,64
Al-Khalafawi metro station,6
El Mazallat,18
Kolleyyet El-Zeraa,45
sadat,72
Adly-Mansour,2
Huckstep,42
omar Ibn El-khattab,71
Qubaa,57
Hesham Barakat,41
EL-Nosha,14
Elshams club,28
Alf-Maskan,8
Heliopolis,37
Haroun,36
El-Ahram,20
Kolleyet El-Banat,44
fair-zone,69
Stadium Metro Station,65
El-abaaiya,27
Abdou Basha,1
El-Geish,22
El-Shqrea,26
Nasser,53
Masbero,51
Safaa-Hegazy,61
kitkat,70
Cairo University,10
